Index,Developer,Video_Game_Name
0,Crave Entertainment,AMF Bowling 2004
1,Mud Duck Productions,AMF Bowling 2004
2,Microsoft Game Studios,N3: Ninety-Nine Nights
3,Q Entertainment,N3: Ninety-Nine Nights
4,Phantagram,N3: Ninety-Nine Nights
5,Blueside,N3: Ninety-Nine Nights
6,THQ,Scooby-Doo! Night of 100 Frights
7,Heavy Iron Studios,Scooby-Doo! Night of 100 Frights
8,Vicarious Visions,Shrek the Third
9,Activision Publishing,Shrek the Third
10,Gameloft,Shrek the Third
11,Atlus,Radiant Historia
12,Atlus USA,Radiant Historia
13,Headlock,Radiant Historia
14,The Workshop Entertainment,Sorcery
15,Sony Computer Entertainment,Sorcery
16,Electronic Arts,Harry Potter and the Order of the Phoenix
17,Rebellion Developments,Harry Potter and the Order of the Phoenix
18,Enix Corporation,Grandia II
19,Game Arts,Grandia II
20,"Rocket Studio, Inc.",Grandia II
21,Ubisoft Montreal,Shaun White Snowboarding: World Stage
22,Beenox,Spider-Man: Friend or Foe
23,Next Level Games,Spider-Man: Friend or Foe
24,Activision,Spider-Man: Friend or Foe
25,Underground Development,Guitar Hero: Van Halen
26,Activision,Guitar Hero: Van Halen
27,Neversoft Entertainment,Guitar Hero: Van Halen
28,WB Games,Batman: The Brave and the Bold the Videogame
29,WayForward Technologies,Batman: The Brave and the Bold the Videogame
30,Aspyr Media,The Sims 2
31,Maxis,The Sims 2
32,Electronic Arts,The Sims 2
33,Disney Interactive Studios,Phineas and Ferb Ride Again
34,Electronic Arts,Need for Speed Underground
35,Pocketeers,Need for Speed Underground
36,Konami,Def Jam Rapstar
37,4mm Games,Def Jam Rapstar
38,Diamond Head,Power Pro Kun Pocket 4
39,Konami,Power Pro Kun Pocket 4
40,Simon & Schuster,Outlaw Golf
41,Hypnotix,Outlaw Golf
42,Konami,Fisherman's Bait 2: Big Ol' Bass
43,Electronic Arts,MySims SkyHeroes
44,Behaviour Interactive,MySims SkyHeroes
45,Square Enix,Mini Ninjas
46,Magic Pockets,Mini Ninjas
47,Eidos Interactive,Mini Ninjas
48,IO Interactive,Mini Ninjas
49,Feral Interactive,Mini Ninjas
50,Robosoft Technologies,Mini Ninjas
51,Disney Interactive,Disney Infinity
52,Altron Corporation,Disney Infinity
53,WB Games,The LEGO Movie Videogame
54,TT Fusion,The LEGO Movie Videogame
55,TT Games,The LEGO Movie Videogame
56,D3 Publisher,Ben 10 Alien Force: Vilgax Attacks
57,Papaya Studio,Ben 10 Alien Force: Vilgax Attacks
58,1st Playable Productions,Ben 10 Alien Force: Vilgax Attacks
59,EA Canada,NBA Street V3
60,EA Sports BIG,NBA Street V3
61,"Natsume Co., Ltd.",Nicktoons: Battle for Volcano Island
62,THQ,Nicktoons: Battle for Volcano Island
63,Virgin Interactive Entertainment (Europe) Ltd.,Kagero: Deception II
64,Tecmo,Kagero: Deception II
65,SCE Bend Studio,Syphon Filter: Dark Mirror
66,Sony Computer Entertainment,Syphon Filter: Dark Mirror
67,Novarama,Invizimals: Shadow Zone
68,Sony Computer Entertainment,Invizimals: Shadow Zone
69,Nintendo,Glory of Heracles
70,Studio Saizensen,Glory of Heracles
71,Paon,Glory of Heracles
72,Ubisoft Milan,Rabbids: Alive & Kicking
73,Ubisoft Entertainment,Rabbids: Alive & Kicking
74,Sony Computer Entertainment,Modnation Racers: Road Trip
75,SCE San Diego Studio,Modnation Racers: Road Trip
76,EA Sports,NBA Live 06
77,EA Black Box,Need for Speed: Most Wanted
78,EA Redwood Shores,Need for Speed: Most Wanted
79,Electronic Arts,Need for Speed: Most Wanted
80,Bandai,SD Gundam G Century
81,High Impact Games,Ratchet & Clank: Size Matters
82,Sony Computer Entertainment,Ratchet & Clank: Size Matters
83,Square Enix,Front Mission Evolved
84,Double Helix Games,Front Mission Evolved
85,Cing,Little King's Story
86,Rising Star Games,Little King's Story
87,XSEED Games,Little King's Story
88,Marvelous Entertainment,Little King's Story
89,Koei,Dynasty Warriors: Strikeforce
90,Omega Force,Dynasty Warriors: Strikeforce
91,Koei Tecmo,Dynasty Warriors: Strikeforce
92,Majesco Entertainment,Alvin and the Chipmunks: The Squeakquel
93,ImaginEngine,Alvin and the Chipmunks: The Squeakquel
94,Activision,Dolphin
95,Square Enix,NieR
96,Cavia,NieR
97,Blue Fang Games,Zoo Tycoon 2 DS
98,THQ,Zoo Tycoon 2 DS
99,Midway,Area 51
100,Midway Studios Austin,Area 51
101,Fargus Multimedia,Area 51
102,High Moon Studios,Deadpool
103,Mercenary Technology,Deadpool
104,Activision,Deadpool
105,Iron Galaxy Studios,Deadpool
106,Konami,UEFA Euro 2016
107,Virtual Toys,Imagine: Fashion Designer World Tour
108,WB Games,Wanted: Weapons of Fate
109,GRIN,Wanted: Weapons of Fate
110,Capcom Production Studio 1,Mega Man X8
111,Capcom,Mega Man X8
112,"Atari, Inc.",The Chronicles of Riddick: Assault on Dark Athena
113,Tigon Studios,The Chronicles of Riddick: Assault on Dark Athena
114,Starbreeze Studios,The Chronicles of Riddick: Assault on Dark Athena
115,Virtual Programming,The Chronicles of Riddick: Assault on Dark Athena
116,Warner Bros. Games,TouchMaster: Connect
117,Double Tap,TouchMaster: Connect
118,Bugbear Entertainment,FlatOut: Head On
119,Empire Interactive,FlatOut: Head On
120,Six by nine,FlatOut: Head On
121,Electronic Arts,Supercross 2000
122,MBL Research,Supercross 2000
123,Midway Games,War Gods
124,Eurocom Entertainment Software,War Gods
125,GT Interactive Software,War Gods
126,Kemco,Top Gear Overdrive
127,Snowblind Studios,Top Gear Overdrive
128,Gradiente,Top Gear Overdrive
129,Angel Studios,Ken Griffey Jr.'s Slugfest
130,Nintendo,Ken Griffey Jr.'s Slugfest
131,Nintendo,The New Tetris
132,H2O Entertainment,The New Tetris
133,Saffire,Xena: Warrior Princess - The Talisman of Fate
134,Titus Software,Xena: Warrior Princess - The Talisman of Fate
135,EA Redwood Shores,The Godfather: Dons Edition
