Index,Developer,Video_Game_Name
0,IO Interactive,Hitman: Blood Money
1,Eidos Interactive,Hitman: Blood Money
2,Intelligent Systems,Advance Wars: Dual Strike
3,Nintendo,Advance Wars: Dual Strike
4,Capcom,Auto Modellista
5,Capcom Production Studio 1,Auto Modellista
6,Sony Computer Entertainment,MLB 15: The Show
7,SCE San Diego Studio,MLB 15: The Show
8,Red Storm Entertainment,Tom Clancy's Ghost Recon 2: Summit Strike
9,EA Sports,Tiger Woods PGA Tour 08
10,EA Orlando,Tiger Woods PGA Tour 08
11,Ubisoft Paris,Just Dance 2015
12,Ubisoft Milan,Just Dance 2015
13,Ubisoft Reflections,Just Dance 2015
14,Ubisoft Pune,Just Dance 2015
15,Ubisoft Entertainment,Just Dance 2015
16,High Moon Studios,Robert Ludlum's The Bourne Conspiracy
17,Sierra Entertainment,Robert Ludlum's The Bourne Conspiracy
18,High Moon Studios,Robert Ludlum's The Bourne Conspiracy
19,Sierra Entertainment,Robert Ludlum's The Bourne Conspiracy
20,Koei Tecmo Games,Samurai Warriors Chronicles
21,Omega Force,Samurai Warriors Chronicles
22,Konami,Tokimeki Memorial 2
23,Konami Computer Entertainment Tokyo,Tokimeki Memorial 2
24,Play THQ,SpongeBob vs The Big One: Beach Party Cook Off
25,The Fizz Factor,SpongeBob vs The Big One: Beach Party Cook Off
26,Ganbarion,One Piece: Unlimited World Red
27,Bandai Namco Games,One Piece: Unlimited World Red
28,Namco Bandai Games,One Piece: Unlimited World Red
29,EA Sports,EA Sports Active 2
30,EA Canada,EA Sports Active 2
31,Capcom,MotoGP 08
32,Milestone,MotoGP 08
33,THQ,Red Faction: Armageddon
34,Syfy Games,Red Faction: Armageddon
35,Volition,Red Faction: Armageddon
36,Magic Pockets,Harry Potter: Quidditch World Cup
37,Electronic Arts,Harry Potter: Quidditch World Cup
38,Obsidian Entertainment,Dungeon Siege III
39,Square Enix,Dungeon Siege III
40,THQ,Evil Dead: Fistfull of Boomstick
41,VIS Entertainment,Evil Dead: Fistfull of Boomstick
42,Double Helix Games,Silent Hill: Homecoming
43,Konami,Silent Hill: Homecoming
44,Double Helix Games,Silent Hill: Homecoming
45,Konami,Silent Hill: Homecoming
46,Sega,Sonic & All-Stars Racing Transformed
47,Sumo Digital,Sonic & All-Stars Racing Transformed
48,Atlus,Shin Megami Tensei: Nocturne
49,Ghostlight Ltd.,Shin Megami Tensei: Nocturne
50,Human Entertainment,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi
51,Giants Software,Farming Simulator 2013
52,Sega,ESPN College Hoops 2K5
53,Visual Concepts,ESPN College Hoops 2K5
54,Redtribe,Looney Tunes: Acme Arsenal
55,WB Games,Looney Tunes: Acme Arsenal
56,Bandai,SD Gundam G Generation Spirits
57,Beenox,Marvel: Ultimate Alliance
58,Zoe Mode,Marvel: Ultimate Alliance
59,Raven Software,Marvel: Ultimate Alliance
60,NEC Interchannel,Marvel: Ultimate Alliance
61,Activision,Marvel: Ultimate Alliance
62,Vicarious Visions,Marvel: Ultimate Alliance
63,Eidos Interactive,Diner Dash: Sizzle & Serve
64,Ghostlight Ltd.,Shin Megami Tensei: Devil Survivor Overclocked
65,Atlus,Shin Megami Tensei: Devil Survivor Overclocked
66,Sega,Shin Megami Tensei: Devil Survivor Overclocked
67,Tomy,Naruto: Clash of Ninja Revolution 2
68,Eighting,Naruto: Clash of Ninja Revolution 2
69,Acclaim Studios Austin,Turok: Evolution
70,Acclaim Entertainment,Turok: Evolution
71,EA Sports,NCAA Football 08
72,EA Orlando,NCAA Football 08
73,A2M,Ice Age
74,Ubisoft Entertainment,Ice Age
75,Feral Interactive,Sega Superstars Tennis
76,Sumo Digital,Sega Superstars Tennis
77,Sega,Sega Superstars Tennis
78,Sega,Headhunter
79,Amuze,Headhunter
80,Acclaim Entertainment,Headhunter
81,EA Sports,FIFA 14
82,Nintendo EAD Software Development Group No.4,Yoshi Touch & Go
83,Nintendo,Yoshi Touch & Go
84,iQue,Yoshi Touch & Go
85,Sega,Viking: Battle for Asgard
86,The Creative Assembly,Viking: Battle for Asgard
87,Harmonix Music Systems,Rock Band 4
88,Atlus,Shin Megami Tensei: Devil Summoner
89,Team Fusion,Marvel Nemesis: Rise of the Imperfects
90,Nihilistic Software,Marvel Nemesis: Rise of the Imperfects
91,Electronic Arts,Marvel Nemesis: Rise of the Imperfects
92,EA Canada,Marvel Nemesis: Rise of the Imperfects
93,Crave Entertainment,Brunswick Pro Bowling
94,505 Games,Brunswick Pro Bowling
95,Point of View,Brunswick Pro Bowling
96,FarSight Studios,Brunswick Pro Bowling
97,Core Design,Ninja: Shadow of Darkness
98,Eidos Interactive,Ninja: Shadow of Darkness
99,MachineGames,Wolfenstein: The New Order
100,Bethesda Softworks,Wolfenstein: The New Order
101,Bandai,SD Gundam G Generation-F
102,THQ,Bratz: Rock Angelz
103,AWE Games,Bratz: Rock Angelz
104,Blitz Games,Bratz: Rock Angelz
105,Empire Interactive,FlatOut
106,Konami,FlatOut
107,Bugbear Entertainment,FlatOut
108,Strategy First,FlatOut
109,Capcom,Phoenix Wright: Ace Attorney - Dual Destinies
110,EA Digital Illusions CE,Battlefield 1
111,Electronic Arts,Battlefield 1
112,EA Canada,SSX 3
113,EA Sports BIG,SSX 3
114,Electronic Arts,SSX 3
115,Kojima Productions,Metal Gear Solid: Snake Eater 3D
116,Konami,Metal Gear Solid: Snake Eater 3D
117,EA Sports,NCAA Football 11
118,EA Canada,NCAA Football 11
119,EA Orlando,NCAA Football 11
120,Firemint Pty,Lilo & Stitch 2: Hämsterviel Havoc
121,Buena Vista Interactive,Lilo & Stitch 2: Hämsterviel Havoc
122,Climax Handheld Games,Lilo & Stitch 2: Hämsterviel Havoc
123,SCE Japan Studio,LocoRoco
124,Sony Computer Entertainment,LocoRoco
125,Square Enix,Deus Ex: Mankind Divided
126,Eidos Montréal,Deus Ex: Mankind Divided
127,Feral Interactive,Deus Ex: Mankind Divided
128,Nixxes Software,Deus Ex: Mankind Divided
129,AMD,Deus Ex: Mankind Divided
130,BEC,Mobile Suit Gundam version 2.0
131,Bandai,Mobile Suit Gundam version 2.0
132,EA Sports,FIFA 17
133,EA Vancouver,FIFA 17
134,EA Romania,FIFA 17
135,NanaOn-Sha,Tamagotchi Connection: Corner Shop 3
136,Namco Bandai Games,Tamagotchi Connection: Corner Shop 3
137,Dimps,Tamagotchi Connection: Corner Shop 3
138,Konami,Silent Scope
139,Square,Final Fantasy Adventure
140,SUNSOFT,Final Fantasy Adventure
141,Sega,The Incredible Hulk
142,Edge of Reality,The Incredible Hulk
143,Amaze Entertainment,The Incredible Hulk
144,Electronic Arts,Mercenaries 2: World in Flames
145,Pandemic Studios,Mercenaries 2: World in Flames
146,Behaviour Interactive,Mercenaries 2: World in Flames
147,Square Enix,Saints Row: The Third
148,CyberFront,Saints Row: The Third
149,THQ,Saints Row: The Third
150,Deep Silver,Saints Row: The Third
151,Volition,Saints Row: The Third
152,Capcom,Ghost Trick: Phantom Detective
153,Konami,Tokimeki Memorial: Forever with You
154,Kouyousha,Tokimeki Memorial: Forever with You
155,Vision Universe,Tokimeki Memorial: Forever with You
156,Konami Computer Entertainment Japan,Tokimeki Memorial: Forever with You
157,Interplay Entertainment,Hunter: The Reckoning
158,High Voltage Software,Hunter: The Reckoning
159,SingleTrac,Rogue Trip: Vacation 2012
160,GT Interactive Software,Rogue Trip: Vacation 2012
161,7seventh chord,Tales of Hearts
162,Namco Bandai Games,Tales of Hearts
163,Bandai Namco Entertainment,Tales of Hearts
164,Eurocom Entertainment Software,Ice Age: Dawn of the Dinosaurs
165,Activision,Ice Age: Dawn of the Dinosaurs
166,Nintendo,Pokemon Channel
167,Ambrella,Pokemon Channel
168,Taiko Team,Taiko no Tatsujin Portable DX
169,Bandai Namco Entertainment,Taiko no Tatsujin Portable DX
170,Namco,Taiko no Tatsujin Portable DX
171,Sega,Etrian Odyssey IV: Legends of the Titans
172,Atlus USA,Etrian Odyssey IV: Legends of the Titans
173,Atlus,Etrian Odyssey IV: Legends of the Titans
174,NIS America,Etrian Odyssey IV: Legends of the Titans
175,High Voltage Software,Iron Man 2
176,Sega,Iron Man 2
177,Sega,Virtua Tennis 2009
178,Sumo Digital,Virtua Tennis 2009
179,Yuke's,The Dog Island
180,Toys for Bob,Madagascar: Escape 2 Africa
181,Aspyr Media,Madagascar: Escape 2 Africa
182,Idol Minds,Madagascar: Escape 2 Africa
183,Activision,Madagascar: Escape 2 Africa
184,Atari,Hangman
185,Electronic Arts,Need for Speed: Nitro
186,Firebrand Games,Need for Speed: Nitro
187,Namco Bandai Games,Naruto Shippuden: Ultimate Ninja Heroes 3
188,CyberConnect2,Naruto Shippuden: Ultimate Ninja Heroes 3
189,EA Sports,Tiger Woods PGA Tour 08
190,EA Orlando,Tiger Woods PGA Tour 08
191,Activision,Cabela's Dangerous Hunts 2009
