Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,GRAC_Fifteen
X-Men Origins: Wolverine - Uncaged Edition,X360,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69,,,,,M
The Lord of the Rings: The Return of the King,GC,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84.0,23.0,8.5,21.0,T
The Sims: Medieval,PC,2011.0,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69,77.0,56.0,6.1,173.0,Twelve
LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.39,0.24,0.0,0.06,0.69,,,8,4.0,
Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,E
Shrek the Third,X360,2007.0,Action,Activision,0.54,0.09,0.0,0.06,0.68,,,,,E10
Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78.0,44.0,8.7,54.0,T
Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68,63.0,8.0,9,4.0,
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.34,0.25,0.0,0.1,0.68,81.0,28.0,7.3,20.0,Seven
Test Drive Unlimited 2,X360,2011.0,Racing,Atari,0.3,0.31,0.0,0.07,0.68,68.0,61.0,6.4,87.0,T
Test Drive Unlimited 2,X360,2011.0,Racing,Atari,0.3,0.31,0.0,0.07,0.68,68.0,61.0,6.4,87.0,T
Test Drive Unlimited 2,X360,2011.0,Racing,Atari,0.3,0.31,0.0,0.07,0.68,68.0,61.0,6.4,87.0,T
Star Wars: Masters of Teras Kasi,PS,1997.0,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,,,,,
World of Zoo,DS,2009.0,Simulation,THQ,0.42,0.2,0.0,0.06,0.68,,,tbd,,E
NBA Street Vol. 2,XB,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89.0,22.0,8.8,24.0,E
Minecraft,WiiU,2016.0,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,,,,,Twelve
MX vs. ATV Untamed,X360,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.68,70.0,43.0,7.1,17.0,Three
The Last Remnant,X360,2008.0,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,66.0,49.0,6.9,122.0,Sixteen
NCAA Football 2005,XB,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8,12.0,E
Mortal Kombat Mythologies: Sub-Zero,PS,1997.0,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,,,,,M
The Sly Collection,PS3,2010.0,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85.0,46.0,8.8,172.0,Seven
Naruto: Clash of Ninja,GC,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,72.0,21.0,8.1,20.0,T
