Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Bomberman 2,DS,2008.0,Puzzle,Hudson Soft,0.0,0.01,0.0,0.0,0.02,,,,,Seven
Unreal Tournament 2004,PC,2004.0,Shooter,Atari,0.0,0.01,0.0,0.0,0.02,93.0,48.0,8.9,537.0,M
Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PS2,2007.0,Racing,Sunrise Interactive,0.0,0.0,0.02,0.0,0.02,,,,,
Cube,PSP,2007.0,Puzzle,D3Publisher,0.02,0.0,0.0,0.0,0.02,60.0,18.0,tbd,,E
Pirates of the Burning Sea,PC,2008.0,Role-Playing,Koch Media,0.0,0.01,0.0,0.0,0.02,76.0,30.0,7.6,61.0,T
Just Cause,PC,2006.0,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,75.0,21.0,7.3,206.0,M
Army Men: Major Malfunction,XB,2006.0,Shooter,Global Star,0.01,0.0,0.0,0.0,0.02,36.0,6.0,4,5.0,T
Dunamis 15,X360,2011.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02,,,,,CERO_D
Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,DS,2007.0,Misc,Gakken,0.0,0.0,0.02,0.0,0.02,,,,,
Yoake Yori Ruriiro na Portable,PSP,2010.0,Adventure,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02,,,,,
Big Bass Fishing,PS,2002.0,Action,Take-Two Interactive,0.0,0.0,0.02,0.0,0.02,,,7.2,6.0,E
Storm Lover 2nd V,PSV,2016.0,Adventure,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,CERO_B
Reine des Fleurs,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,CERO_C
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,Wii,2007.0,Simulation,Taito,0.0,0.0,0.02,0.0,0.02,,,,,
Namco Museum 50th Anniversary (JP sales),PS2,2005.0,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,
Turbo: Super Stunt Squad,PS3,2013.0,Sports,D3Publisher,0.0,0.01,0.0,0.0,0.02,38.0,5.0,tbd,,E
The Haunted: Hell's Reach,PC,2011.0,Shooter,Visco,0.02,0.0,0.0,0.0,0.02,51.0,8.0,7.6,47.0,Eighteen
Disciples III: Renaissance,PC,2010.0,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.02,56.0,36.0,5.4,105.0,Sixteen
The Longest Journey,PC,1999.0,Adventure,Empire Interactive,0.0,0.01,0.0,0.0,0.02,91.0,26.0,8.9,439.0,M
Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PSP,2009.0,Role-Playing,Gust,0.0,0.0,0.02,0.0,0.02,,,,,
Let's Pilates!,DS,2007.0,Misc,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02,,,tbd,,E
Irritating Stick,PS,1998.0,Action,Saurus,0.01,0.01,0.0,0.0,0.02,,,,,E
Chou!! Super Nep League DS,DS,2008.0,Sports,Jaleco,0.0,0.0,0.02,0.0,0.02,,,,,
WTA Tour Tennis,GBA,2002.0,Sports,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.02,66.0,9.0,tbd,,E
Lost: Via Domus,PC,2008.0,Action,Ubisoft,0.0,0.01,0.0,0.0,0.02,52.0,22.0,6,38.0,Sixteen
Judge Dredd: Dredd Vs Death,XB,2003.0,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.02,57.0,17.0,6.7,7.0,M
Rugby League Live 3,PS3,2015.0,Action,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.02,,,tbd,,E
Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PS2,2006.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,CERO_B
Platypus,PSP,2006.0,Shooter,Funsta,0.02,0.0,0.0,0.0,0.02,59.0,14.0,tbd,,E
Davis Cup Tennis,GBA,2002.0,Sports,Ubisoft,0.01,0.0,0.0,0.0,0.02,59.0,9.0,tbd,,E
Pro Rally,GC,2002.0,Racing,Ubisoft,0.01,0.0,0.0,0.0,0.02,64.0,11.0,tbd,,E
Kimi ni Todoke: Sodateru Omoi,DS,2009.0,Adventure,Banpresto,0.0,0.0,0.02,0.0,0.02,,,,,CERO_A
Elven Legacy Collection,PC,2010.0,Strategy,Paradox Interactive,0.0,0.01,0.0,0.0,0.02,,,tbd,,
Hands On! Tangrams,DS,2009.0,Puzzle,Storm City Games,0.02,0.0,0.0,0.0,0.02,,,,,E
Brave Story: Boku no Kioku to Negai,DS,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,
Zombie Hunters 2,PS2,2006.0,Action,Essential Games,0.0,0.0,0.02,0.0,0.02,,,,,Eighteen
Memories Off #5: Encore,PS2,2007.0,Adventure,CyberFront,0.0,0.0,0.02,0.0,0.02,,,,,
Custom Drive,PSP,2012.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,CERO_B
Dark Void,PC,2010.0,Action,Capcom,0.0,0.01,0.0,0.0,0.02,57.0,22.0,5.1,67.0,GRAC_Fifteen
LEGO Star Wars: The Video Game,PC,2005.0,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,,,,,Three
Tsuyo Kiss 2 Gakki: Swift Love,PS2,2009.0,Adventure,Revolution (Japan),0.0,0.0,0.02,0.0,0.02,,,,,
Konductra,DS,2006.0,Puzzle,O3 Entertainment,0.02,0.0,0.0,0.0,0.02,60.0,14.0,tbd,,
Samurai Jack: The Shadow of Aku,GC,2004.0,Action,Sega,0.01,0.0,0.0,0.0,0.02,59.0,17.0,tbd,,T
Cookie & Cream,DS,2007.0,Platform,505 Games,0.01,0.0,0.0,0.0,0.02,,,,,E
Winning Post 7 2013,PSV,2013.0,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,CERO_A
