Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Metroid II: Return of Samus,GB,1991.0,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,,,,,Seven
WWF Attitude,PS,1998.0,Fighting,Acclaim Entertainment,1.27,0.42,0.0,0.07,1.76,,,,,
UFC 2009 Undisputed,PS3,2009.0,Fighting,THQ,1.07,0.44,0.01,0.24,1.76,84.0,58.0,8.1,47.0,T
The SpongeBob SquarePants Movie,PS2,2004.0,Platform,THQ,1.06,0.54,0.0,0.16,1.76,75.0,5.0,9,54.0,E
Golden Sun,GBA,2001.0,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,91.0,29.0,9.3,198.0,E
Sonic the Hedgehog 3,GEN,1994.0,Platform,Sega,1.02,0.47,0.2,0.07,1.76,,,,,E
Kid Icarus,NES,1986.0,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,,,,,
Def Jam: Fight for NY,PS2,2004.0,Fighting,Electronic Arts,0.86,0.67,0.0,0.22,1.76,83.0,46.0,8.9,73.0,M
Tom Clancy's Ghost Recon,XB,2002.0,Shooter,Ubisoft,1.23,0.46,0.0,0.07,1.76,84.0,29.0,6.1,27.0,Sixteen
State of Emergency,PS2,2002.0,Action,Take-Two Interactive,0.86,0.67,0.0,0.22,1.76,71.0,34.0,5.7,33.0,M
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007.0,Action,THQ,1.26,0.47,0.0,0.03,1.76,,,,,
The Urbz: Sims in the City,PS2,2004.0,Simulation,Electronic Arts,0.52,0.95,0.0,0.29,1.76,70.0,25.0,8.2,24.0,Twelve
Star Wars: Starfighter,PS2,2001.0,Simulation,Activision,0.61,0.87,0.02,0.26,1.76,84.0,25.0,8,21.0,T
Madden NFL 2000,PS,1998.0,Sports,Electronic Arts,1.68,0.04,0.0,0.04,1.75,,,,,
Star Wars: Battlefront,XB,2004.0,Shooter,Activision,1.24,0.45,0.0,0.07,1.75,80.0,55.0,9.1,57.0,Twelve
Pro Evolution Soccer,PS2,2001.0,Sports,Konami Digital Entertainment,0.06,0.9,0.53,0.27,1.75,,,,,Three
Madden NFL 17,PS4,2016.0,Sports,Electronic Arts,1.25,0.17,0.0,0.32,1.75,82.0,35.0,4.9,83.0,E
Just Cause 2,PS3,2010.0,Action,Square Enix,0.45,0.92,0.06,0.32,1.75,83.0,66.0,8,291.0,Eighteen
Disney's Aladdin,SNES,1993.0,Platform,Capcom,0.94,0.34,0.21,0.27,1.75,,,,,Three
Kirby's Adventure,NES,1993.0,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75,,,,,E
Yoshi,NES,1991.0,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75,,,,,
The Elder Scrolls Online,PS4,2015.0,Role-Playing,Bethesda Softworks,0.67,0.79,0.0,0.29,1.75,,,,,GRAC_Eighteen
FIFA Soccer 08,PS3,2007.0,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81.0,28.0,7.1,47.0,Three
Crackdown,X360,2007.0,Shooter,Microsoft Game Studios,1.0,0.53,0.03,0.18,1.75,83.0,75.0,8,340.0,M
Wii Party U,WiiU,2013.0,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65.0,38.0,6.8,135.0,Three
Dance Dance Revolution X,PS2,2008.0,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55.0,6.0,6.2,6.0,E10
2 Games in 1: Disney Princess & The Lion King,GBA,2004.0,Misc,THQ,1.25,0.46,0.0,0.03,1.75,,,,,E
Kingdom Hearts,PS3,2013.0,Role-Playing,Square Enix,0.9,0.35,0.25,0.24,1.74,,,,,Twelve
Star Wars Episode I: The Phantom Menace,PS,1999.0,Adventure,LucasArts,0.72,0.89,0.04,0.1,1.74,,,,,T
Xenosaga Episode I: Der Wille zur Macht,PS2,2002.0,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74,83.0,35.0,8.7,99.0,CERO_C
Watch Dogs,PS3,2014.0,Action,Ubisoft,0.56,0.81,0.1,0.27,1.74,,,5.1,383.0,Eighteen
Kinect Star Wars,X360,2012.0,Action,Microsoft Game Studios,1.05,0.52,0.03,0.14,1.74,55.0,61.0,3.5,145.0,Twelve
Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,0.41,0.44,0.72,0.17,1.74,78.0,38.0,8.3,444.0,CERO_D
Cruis'n USA,N64,1996.0,Racing,Nintendo,1.69,0.04,0.0,0.01,1.74,,,,,
Madden NFL 99,PS,1998.0,Sports,Electronic Arts,1.66,0.04,0.0,0.04,1.74,,,,,E
The Order: 1886,PS4,2015.0,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63.0,94.0,6.6,3172.0,Eighteen
SSX Tricky,PS2,2001.0,Sports,Electronic Arts,0.85,0.66,0.0,0.22,1.73,92.0,33.0,8.9,71.0,E
Knack,PS4,2013.0,Platform,Sony Computer Entertainment Europe,0.43,0.68,0.42,0.2,1.73,54.0,83.0,6.5,1074.0,CERO_A
Twisted Metal III,PS,1998.0,Action,989 Studios,1.48,0.2,0.0,0.05,1.73,,,,,T
Harry Potter and the Sorcerer's Stone,GB,2001.0,Action,Electronic Arts,0.94,0.62,0.1,0.07,1.73,,,,,
Dragon Quest VI: Realms of Revelation,DS,2010.0,Role-Playing,Nintendo,0.2,0.14,1.35,0.03,1.73,78.0,41.0,8.1,31.0,Twelve
Crash Bandicoot: The Huge Adventure,GBA,2002.0,Platform,Universal Interactive,0.95,0.7,0.0,0.08,1.73,78.0,18.0,7.9,27.0,E
Hitman: Absolution,X360,2012.0,Action,Square Enix,0.68,0.88,0.01,0.17,1.73,79.0,51.0,7.1,453.0,Eighteen
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003.0,Action,Take-Two Interactive,0.85,0.66,0.0,0.22,1.72,,,,,
The Crew,PS4,2014.0,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,60.0,5.4,575.0,Twelve
Call of Duty: World at War Final Fronts,PS2,2008.0,Shooter,Activision,0.61,0.18,0.0,0.94,1.72,,,,,T
NBA 2K15,XOne,2014.0,Sports,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72,82.0,9.0,6.3,101.0,E
Madden NFL 2005,XB,2004.0,Sports,Electronic Arts,1.61,0.03,0.0,0.08,1.72,91.0,39.0,7.6,26.0,E
Star Ocean: Till The End of Time,PS2,2003.0,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.72,80.0,55.0,7.7,134.0,Twelve
Call of Duty: Modern Warfare 3,PC,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72,78.0,26.0,2.5,5664.0,CERO_Z
Dishonored,X360,2012.0,Action,Bethesda Softworks,1.06,0.5,0.01,0.14,1.71,88.0,56.0,7.9,815.0,Eighteen
Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998.0,Platform,Activision,0.99,0.64,0.0,0.08,1.71,,,,,
The Beatles: Rock Band,Wii,2009.0,Misc,MTV Games,1.17,0.39,0.0,0.15,1.71,89.0,25.0,8.9,43.0,Twelve
Ace Combat 5: The Unsung War,PS2,2004.0,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84.0,57.0,9.1,81.0,T
Need for Speed Underground,XB,2003.0,Racing,Electronic Arts,1.09,0.55,0.0,0.07,1.71,83.0,25.0,8.7,35.0,Three
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006.0,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71,,,,,
Tetris Worlds,GBA,2001.0,Puzzle,THQ,1.25,0.39,0.0,0.06,1.71,65.0,10.0,tbd,,E
Imagine: Teacher,DS,2008.0,Simulation,Ubisoft,0.7,0.82,0.0,0.19,1.71,,,tbd,,E
Call of Duty: Black Ops 3,X360,2015.0,Shooter,Activision,1.14,0.4,0.0,0.16,1.71,,,,,M
Deal or No Deal,DS,2007.0,Misc,Mindscape,1.15,0.4,0.0,0.15,1.7,20.0,13.0,1.9,41.0,E
FIFA Soccer 10,PS2,2009.0,Sports,Electronic Arts,0.23,0.24,0.0,1.23,1.7,,,8.4,9.0,
Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.6,0.02,0.24,1.7,95.0,54.0,8.4,937.0,Twelve
Super Puyo Puyo,SNES,1993.0,Puzzle,Banpresto,0.0,0.0,1.69,0.01,1.7,,,,,
NCAA Football 07,PS2,2006.0,Sports,Electronic Arts,1.41,0.05,0.0,0.23,1.7,87.0,18.0,8.6,23.0,E
The Sims 3: Late Night Expansion Pack,PC,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.23,1.7,74.0,17.0,5.3,77.0,
No Man's Sky,PS4,2016.0,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,94.0,4.5,5096.0,Seven
Ben 10: Protector of Earth,DS,2007.0,Action,D3Publisher,0.68,0.82,0.0,0.19,1.7,,,,,E
Cabela's Big Game Hunter 2010,Wii,2009.0,Sports,Activision Value,1.58,0.0,0.0,0.12,1.69,,,7.8,4.0,T
SOCOM 3: U.S. Navy SEALs,PS2,2005.0,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,82.0,59.0,8.8,64.0,Sixteen
BioShock Infinite,PS3,2013.0,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28,1.69,94.0,27.0,8.5,1863.0,Eighteen
Jampack Winter '99,PS,1999.0,Misc,Sony Computer Entertainment,0.94,0.64,0.0,0.11,1.69,,,,,
Call of Duty: Black Ops 3,PS3,2015.0,Shooter,Activision,0.49,0.87,0.07,0.26,1.69,,,,,M
WCW vs. nWo: World Tour,N64,1997.0,Fighting,THQ,1.37,0.28,0.03,0.02,1.69,,,,,E
WCW/NWO Thunder,PS,1998.0,Fighting,THQ,1.1,0.48,0.04,0.07,1.69,,,,,E
Harry Potter and the Sorcerer's Stone,GBA,2001.0,Action,Electronic Arts,0.87,0.66,0.08,0.08,1.69,64.0,8.0,7.1,7.0,Three
Dragon Ball Z: The Legacy of Goku,GBA,2002.0,Role-Playing,Infogrames,1.52,0.12,0.0,0.05,1.69,53.0,15.0,6.9,28.0,E
Cooking Mama 3: Shop & Chop,DS,2009.0,Simulation,505 Games,0.79,0.65,0.08,0.17,1.69,,,,,E
Resident Evil 4,GC,2005.0,Action,Capcom,0.98,0.42,0.22,0.06,1.69,96.0,82.0,9.4,767.0,Eighteen
Personal Trainer: Math,DS,2007.0,Puzzle,Nintendo,0.48,1.12,0.0,0.08,1.69,63.0,11.0,tbd,,E
Game Party 3,Wii,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.4,0.16,0.0,0.12,1.68,37.0,4.0,tbd,,E
