Developer,Country,Year_of_Establishment
Nintendo,Japan,1889
Nintendo EAD Software Development Group No.2,Japan,2003
Playtronic,Brazil,1993
Nintendo R&D4,Japan,1983
Nintendo EAD,Japan,1989
Gradiente,Brazil,1964
ELORG,Russian Federation,1971
Mani,Hong Kong,1991
iQue,China,2002
Nintendo EAD Software Development Group No.1,Japan,2003
Nintendo EAD Software Development Group No.5,Japan,2003
Microsoft Game Studios,United States of America,2002
Good Science Studio,United States of America,Unknown
Rockstar North,United Kingdom of Great Britain and Northern Ireland,2002
Rockstar Games,United States of America,Unknown
Take-Two Interactive,United States of America,1993
Rockstar Toronto,Canada,2002
TransGaming Inc.,Unknown (ID: None),Unknown
Nintendo SPD Production Group No. 2,Japan,2003
Nintendo R&D1,Japan,1970
Rockstar Vienna,Austria,1993
Nintendo SPD Software Development Group,Japan,2003
Polyphony Digital,Japan,1998
Sony Computer Entertainment,Japan,1993
Raven Software,United States of America,1990
Sledgehammer Games,United States of America,2009
Infinity Ward,United States of America,2002
Activision,United States of America,1979
Game Freak,Japan,1989
Treyarch,United States of America,1996
Aspyr Media,United States of America,1996
Square Enix,Japan,2003
SPOV,Unknown (ID: None),Unknown
The Ant Farm,Unknown (ID: None),Unknown
Earbash Inc.,Unknown (ID: None),Unknown
Shadows in Darkness,Unknown (ID: None),Unknown
Vykarian,China,2006
PCB Productions,Unknown (ID: None),Unknown
SIDE UK Ltd,Unknown (ID: None),Unknown
87eleven,Unknown (ID: None),Unknown
Xloc. inc,Unknown (ID: None),Unknown
Blade Games World,China,Unknown
"Ignited Minds, LLC",Unknown (ID: None),Unknown
Hamagami/Carroll Inc.,Unknown (ID: None),Unknown
DMA Design,United Kingdom of Great Britain and Northern Ireland,1987
Game Arts,Japan,1985
Sora,Japan,2005
Monolith Soft,Japan,1999
HAL Laboratory,Japan,1980
Paon,Japan,1999
Intelligent Systems,Japan,1986
Bungie,United States of America,1991
"Sony Computer Entertainment, Inc. (SCEI)",Japan,1993
Cyberhead,Unknown (ID: None),Unknown
Brownie Brown,Japan,2000
Hyundai,Unknown (ID: None),Unknown
Neversoft Entertainment,United States of America,1994
Certain Affinity,Canada,Unknown
Ubisoft Paris,France,1992
Ubisoft Entertainment,France,1986
Nintendo SPD,Japan,2003
343 Industries,United States of America,2007
Square Product Development Division 1,Japan,1996
Square,Japan,1983
Microsoft Studios,Unknown (ID: None),2011
Ubisoft Milan,Italy,2003
Rare,United Kingdom of Great Britain and Northern Ireland,1985
4J Studios,United Kingdom of Great Britain and Northern Ireland,2005
Hudson Soft,Japan,1973
Bethesda Game Studios,United States of America,2001
Bethesda Softworks,United States of America,1986
EA Canada,Canada,1983
EA Sports,Canada,1991
Pi Studios,Unknown (ID: None),Unknown
NDCube,Japan,Unknown
CAProductions,Unknown (ID: None),Unknown
Electronic Arts,United States of America,1982
Square Electronic Arts,United States of America,1998
TransGaming Technologies,Unknown (ID: None),Unknown
Edge of Reality,United States of America,1998
The Sims Studio,United States of America,2006
Sega,Japan,2020
Sega Sports R&D,Unknown (ID: None),Unknown
Polyvox,Brazil,1967
ME-TA Elektronik Endüstri ve Ticaret,Unknown (ID: None),Unknown
Atari,United States of America,1972
Namco,Japan,1955
Rockstar Leeds,United Kingdom of Great Britain and Northern Ireland,2004
High Moon Studios,United States of America,2001
EA Vancouver,Canada,Unknown
EA Romania,Romania,Unknown
Universal Interactive Studios,United States of America,1994
Naughty Dog,United States of America,1984
Arkane Studios,France,1999
Exakt Entertainment,Unknown (ID: None),Unknown
EA Digital Illusions CE,Sweden,2006
EA Black Box,Canada,Unknown
Konami,Japan,1969
Nintendo EAD Software Development Group No.3,Japan,2003
Imagica DigitalScape,Unknown (ID: None),Unknown
Retro Studios,United States of America,1998
EA Los Angeles,United States of America,2000
Ubisoft Reflections,United Kingdom of Great Britain and Northern Ireland,1984
Ubisoft Bucharest,Romania,1992
Ubisoft Pune,India,2008
People Can Fly,Poland,2002
Epic Games,United States of America,1991
505 Games,Italy,2006
Majesco Entertainment,United States of America,1986
Pipeworks Software,United States of America,1999
Rockstar San Diego,United States of America,2002
Ubisoft Montreal,Canada,1997
Ubisoft Singapore,Singapore,2008
Ubisoft Annecy,France,1996
Ubisoft Kyiv,Ukraine,2008
Ubisoft Québec,Canada,2005
MacSoft Games,United States of America,1993
Gearbox Software,United States of America,1999
Westlake Interactive,Unknown (ID: None),Unknown
Disney Interactive Studios,United States of America,1988
Capcom,Japan,1979
Blizzard Entertainment,United States of America,1994
GT Interactive Software,United States of America,1993
Reflections Interactive,United Kingdom of Great Britain and Northern Ireland,1984
Gameloft,France,1999
Crawfish Interactive,Unknown (ID: None),Unknown
Infogrames,France,1983
Konami Computer Entertainment Japan,Japan,1996
Sonic Team,Japan,1990
Sega Technical Institute,United States of America,1990
Tec Toy,Brazil,1987
Kojima Productions,Japan,2005
Square Enix Product Development Division 4,Japan,2003
Media Molecule,United Kingdom of Great Britain and Northern Ireland,2006
Sourcenext,Unknown (ID: None),Unknown
Capcom Production Studio 3,Japan,1999
